,Name,Province,Service,Address,Location
0,Seyhan Posta Dağıtım Merkezi,Adana,PTT Kargo,"Belediye Evleri, Hilmi Kürklü Blv. No:32, 01170 Çukurova/Adana, Türkiye","37.033781999999995, 35.267297"
1,Ptt-adana Pim,Adana,PTT Kargo,"Fevzipaşa, 48019. Sk. No:20, 01190 Seyhan/Adana, Türkiye","36.9968934, 35.276778"
2,Adana Posta İşleme Merkezi,Adana,PTT Kargo,"Fevzipaşa, 48019. Sk. No:87, 01190 Seyhan/Adana, Türkiye","36.9971527, 35.2748213"
3,Ptt Kargo,Adana,PTT Kargo,"Kurtuluş, Atatürk Cad. İstasyon Meydanı, 01130 Seyhan/Adana, Türkiye","37.0028364, 35.3203063"
4,Ptt Çukurova Adana,Adana,PTT Kargo,"Toros, Toros mh. Barış Manço Blv. No:9 Gökçe apt.altı, Toros, Barış Manço Blv., 01175 Çukurova/Adana, Türkiye","37.046453899999996, 35.298321"
5,Ptt Kargo Isleme Merkezi,Adana,PTT Kargo,"Fevzipaşa, 48037. Sk., 01190 Seyhan/Adana, Türkiye","36.996946799999996, 35.2749137"
6,Ptt-hayalpark Şubesi,Adana,PTT Kargo,"Yurt, Kasım Ener Cd No:8 D:20, 01170 Çukurova/Adana, Türkiye","37.034816000000006, 35.291644999999995"
7,Meydan Terminal PTT Şubesi,Adana,PTT Kargo,"Havalimanı, Seyhan, 01130 Seyhan/Adana, Türkiye","36.987534, 35.286846"
8,Ptt Yüreğir Dağıtım Merkezi,Adana,PTT Kargo,"Özgür, Girne Blv. No:111, 01260 Yüreğir/Adana, Türkiye","36.9873894, 35.3550016"
9,Ptt Subesi,Adana,PTT Kargo,"Karşısı, Belediye Evleri, Ruh Sağlığı Hst. No:249/C, 01170 Çukurova/Adana, Türkiye","37.0507096, 35.2611371"
10,PTT Kargo - Barajyolu Şubesi,Adana,PTT Kargo,"Dörtler, Necip Fazıl Blv No:12, 01140 Seyhan/Adana, Türkiye","37.0267038, 35.3121782"
11,PTT Atilla Altıkat Şubesi,Adana,PTT Kargo,"Çınarlı, 61003. Sk., 01060 Seyhan/Adana, Türkiye","36.990961999999996, 35.322485"
12,PTT-100. Year Branch,Adana,PTT Kargo,"Yüzüncüyıl, 85041. Sk. Pk:01360, 01360 Çukurova/Adana, Türkiye","37.046363, 35.2467068"
13,PTT Adana Koop,Adana,PTT Kargo,"Belediye Evleri, 84029. Sk. 6 A, 01170 Çukurova/Adana, Türkiye","37.033826999999995, 35.2605706"
14,Ptt Adana Başmüdürlüğü,Adana,PTT Kargo,"Kurtuluş, 64019. Sk No:3, 01130 Seyhan/Adana, Türkiye","37.0023622, 35.3204424"
15,Dumlupınar PTT Şubesi,Adana,PTT Kargo,"Meydan, Meydan Cd. No:40, 01070 Seyhan/Adana, Türkiye","36.9835613, 35.309809"
16,PTT Mavi Bulvar,Adana,PTT Kargo,"Yurt, Ahmet Sapmaz Blv. No:16 D:1, 01170 Dörtler Köyü/Çukurova/Adana, Türkiye","37.0283486, 35.299264799999996"
17,PTT barkal şubesi,Adana,PTT Kargo,"Onur, Kiza iş merkezi, 01190 Seyhan/Adana, Türkiye","36.9960011, 35.2573582"
18,Branch Post Office-nursing homes,Adana,PTT Kargo,"Huzurevleri, 77208 Cad. 25/7, 01330 Çukurova/Adana, Türkiye","37.0454988, 35.279497899999996"
19,Sarıçam post office,Adana,PTT Kargo,"Ptt, Kozan Cad. No:555, 01240 Yüreğir/Adana, Türkiye","37.0123812, 35.3786204"
20,Ptt kargo şube şefliği,Adıyaman,PTT Kargo,"Mimar Sinan, 02040 Adıyaman Merkez/Adıyaman, Türkiye","37.7623269, 38.264744799999995"
21,Ptt,Adıyaman,PTT Kargo,"Eskisaray, Atatürk Blv. Yanyolu, 02100 Merkez/Adıyaman Merkez/Adıyaman, Türkiye","37.7623867, 38.2713997"
22,PTT,Adıyaman,PTT Kargo,"Yeni Sanayi, 1. Çarşı D:3, 02040 Adıyaman Merkez/Adıyaman, Türkiye","37.736484, 38.2169561"
23,PTT Genel Müdürlük,Adıyaman,PTT Kargo,"Sümerevler, Atatürk Blv. Yanyolu No:58, 02030 Adıyaman Merkez/Adıyaman, Türkiye","37.7552572, 38.25164230000001"
24,Ptt Bahçelievler,Adıyaman,PTT Kargo,"Bahçelievler, Eski Kahta Cd. No:34, 02290 Adıyaman Merkez/Adıyaman, Türkiye","37.7604604, 38.2847115"
25,Ptt Eskisaray,Adıyaman,PTT Kargo,"Eskisaray, Yahya Kemal Cd. NO:1, 02100 Adıyaman Merkez/Adıyaman, Türkiye","37.7608679, 38.275046599999996"
26,PTT Kargo Afyon Kurtulus Subesi,Afyonkarahisar,PTT Kargo,"Marulcu, Kurtuluş Cd. No:59, 03200 Afyonkarahisar Merkez/Afyonkarahisar, Türkiye","38.7524367, 30.5443681"
27,PTT,Ağrı,PTT Kargo,"Yavuz, Vali Konağı Cd. No:67, 04100 Ağrı Merkez/Ağrı, Türkiye","39.722308, 43.050727099999996"
28,PTT Ağrı Şubesi (Posta ve Telgraf Teşkilatı),Ağrı,PTT Kargo,"Leylek Pınar Mahallesi Cumhuriyet Caddesi Numara: 48, Leylek Pınar, 04200 Ağrı Merkez/Ağrı, Türkiye","39.7201223, 43.05239650000001"
29,Post Office Shipping,Ağrı,PTT Kargo,"Leylek Pınar, Hanibaba Blv., 04200 Ağrı Merkez/Ağrı, Türkiye","39.7196681, 43.0589704"
30,PTT,Ağrı,PTT Kargo,"Kazım Karabekir, Erzurum Cad./980 Sok. No:1, 04100 Ağrı Merkez/Ağrı, Türkiye","39.728975, 43.04889"
31,Ptt-valilik Şubesi,Ağrı,PTT Kargo,"Fırat, 04100 Ağrı Merkez/Ağrı, Türkiye","39.7181269, 43.0333876"
32,Ptt-y. Devlet Hastanesi Şubesi,Ağrı,PTT Kargo,"Fırat, 04100 Ağrı Merkez/Ağrı, Türkiye","39.716941999999996, 43.017452999999996"
33,PTT,Aksaray,PTT Kargo,"Hacı Hasanlı, PTT Cd. No:6, 68100 Merkez/Aksaray Merkez/Aksaray, Türkiye","38.372412, 34.0286371"
34,Ptt Aksaray Kargo Merkezi,Aksaray,PTT Kargo,"Coğlaki, 1209. Sk. No:11 D:B, 68100 Aksaray Merkez/Aksaray, Türkiye","38.3721536, 34.0402187"
35,Ptt Aksaray,Aksaray,PTT Kargo,"Aksaray, İnkılap Cd. No:28, 34096 Fatih/İstanbul, Türkiye","41.008316199999996, 28.951895399999998"
36,PTT,Aksaray,PTT Kargo,"Zafer, E-90 Karayolu Cad. No:1, 23190 Aksaray Merkez/Aksaray, Türkiye","38.3943594, 34.0227211"
37,PTT,Aksaray,PTT Kargo,"Fatih, 4159. Sk. Kule Alışveriş Merkezi, 68105 Aksaray Merkez/Aksaray, Türkiye","38.3564012, 34.032061899999995"
38,PTT,Aksaray,PTT Kargo,"Fatih Hasan Dağ Cad Belediye Binası 118/D, Fatih, 68105 Aksaray Merkez/Aksaray, Türkiye","38.3546986, 34.0261233"
39,Ptt,Aksaray,PTT Kargo,"Pınar, Selçuk Blv. 146 A, 68100 Aksaray Merkez/Aksaray, Türkiye","38.3636085, 34.0355795"
40,PTT,Aksaray,PTT Kargo,"Cumhuriyet Mah. No:10, Aksaray Merkez, Aksaray, Kurtuluş, 68100 Aksaray Merkez/Aksaray, Türkiye","38.362337, 34.051061"
41,Ptt-adliye Sarayı Şubesi,Aksaray,PTT Kargo,"Taşpazar, Ebulfeyz Elçibey Cd. No:15, 68100 Aksaray Merkez/Aksaray, Türkiye","38.365849, 34.011566"
42,Ptt-sanayi Şubesi,Aksaray,PTT Kargo,"Büyük Bölcek, 2 / Kapadokya Bulvarı No: 56/A, 68200 Aksaray Merkez/Aksaray, Türkiye","38.3749269, 34.001889399999996"
43,PTT BANK - PTT KARGO,Amasya,PTT Kargo,"Hacılar Meydanı, Kılıçaslan Cd. No:6, 05100 Amasya Merkez/Amasya, Türkiye","40.646606399999996, 35.8109858"
44,Ptt - A. Sarayı Şb.,Amasya,PTT Kargo,"Nergiz, Elmasiye Cd., 05200 Pk:05010 Merkez/Amasya, Türkiye","40.6545, 35.8337"
45,Ptt Kargo,Amasya,PTT Kargo,"Bahçeleriçi, 66, Zübeyde Hanım Cd. AKABE AP., 05200 Amasya Merkez/Amasya, Türkiye","40.6632166, 35.834065300000006"
46,Ptt,Amasya,PTT Kargo,"Akbilek Mah., Merkez, K.Nehrozoğlu Cad .No:94/1, 05100 Amasya Merkez/Amasya, Türkiye","40.651006, 35.7990952"
47,Post Office Head Office,Amasya,PTT Kargo,"Hatuniye, Ziya Paşa Blv. No:23, 05100 Amasya Merkez/Amasya, Türkiye","40.6515488, 35.8310679"
48,PTT Amasya,Amasya,PTT Kargo,"Dere, Ziya Paşa Blv. No:21, 05100 Amasya Merkez/Amasya, Türkiye","40.6519759, 35.8319786"
49,Ptt-general Hikmet Akıncı Şubesi,Amasya,PTT Kargo,"Yazı Bağları, Kışla Cd., 05100 Pk:05110 Merkez/Amasya, Türkiye","40.6122, 35.7975"
50,Ptt-hastane Şubesi,Amasya,PTT Kargo,"Kirazlıdere, Terminal Cd. No:47, 05200 Amasya Merkez/Amasya, Türkiye","40.6613948, 35.847924899999995"
51,Ptt-koli Kabul,Amasya,PTT Kargo,"Dere, Özkan Yalçın Cd. No:6, 05100 Amasya Merkez/Amasya, Türkiye","40.651435000000006, 35.8312342"
52,Ptt-aydınca,Amasya,PTT Kargo,"Merkez Esref Bitlis Cad. Pk:05040 Merkez Amasya, 05040 Aydınca/Amasya Merkez/Amasya, Türkiye","40.569939999999995, 36.136472"
53,Ptt-merzifon Şubesi,Amasya,PTT Kargo,"Harmanlar, Harmanlar Cd No:2, 05300 Merzifon/Amasya, Türkiye","40.8713619, 35.4627263"
54,PTT,Amasya,PTT Kargo,"No:139, 05000 Kayabaşı/Amasya Merkez/Amasya, Türkiye","40.573347, 35.748408"
55,Ptt-ziyaret Acentesi,Amasya,PTT Kargo,"Ziyaret Mh Amasya Erzincan Yolu Pk:05030, Aşağı, 05000 Ziyaret/Amasya Merkez/Amasya, Türkiye","40.6844371, 35.8683598"
56,Ptt Devlet Hastanesi,Amasya,PTT Kargo,"Kirazlıdere, Aydoğan Sk. NO:0, 05200 Amasya Merkez/Amasya, Türkiye","40.6612349, 35.8485563"
57,Oran Sitesi Şubesi,Ankara,PTT Kargo,"Oran, Zülfü Tiğrel Cd. 10 A, 06450 Çankaya/Ankara, Türkiye","39.8485051, 32.8257043"
58,Çankaya posta dağıtım merkezi,Ankara,PTT Kargo,"Remzi Oğuz Arık, Tunus Cd No:66, 06680 Çankaya/Ankara, Türkiye","39.905919, 32.858902"
59,PTT,Ankara,PTT Kargo,"Oran, Zühtü Tiğrel Cad. Türk Telekom Binası No:10, 06450 Çankaya/Ankara, Türkiye","39.8483296, 32.8255845"
60,PTT Çankaya Şubesi,Ankara,PTT Kargo,"Güzeltepe, Sedat Simavi Sk. Pk:06540, 06690 Çankaya/Ankara, Türkiye","39.8826296, 32.8558094"
61,PTT Altındağ Kargo Dağıtım Merkezi,Ankara,PTT Kargo,"Çamlıca, 176. Sk., 06374 Yenimahalle/Ankara, Türkiye","39.9515163, 32.774785"
62,PTT,Ankara,PTT Kargo,"Aşağı Dikmen, TRT Genel Md. Pk:06450, 06450 Çankaya/Ankara, Türkiye","39.846748999999996, 32.84256"
63,PTT,Ankara,PTT Kargo,"Huzur Mh., Dikmen Cd No:388, 06450 Çankaya/Ankara, Türkiye","39.8666701, 32.8204822"
64,Ptt Gölbaşı,Ankara,PTT Kargo,"Gaziosmanpaşa, Sahil Cd. No:126, 06830 Gölbaşı/Ankara, Türkiye","39.789215999999996, 32.805237"
65,PTT,Ankara,PTT Kargo,"İlker, İlker Cd. 119/B, 06450 Çankaya/Ankara, Türkiye","39.8658096, 32.837674299999996"
66,Ptt- Turan Güneş Müdürlüğü,Ankara,PTT Kargo,"Sancak, Turan Güneş Blv. No:25/A, 06550 Çankaya/Ankara, Türkiye","39.8742492, 32.8630016"
67,PTT,Ankara,PTT Kargo,"Ahlatlıbel, İncek Şht. Savcı Mehmet Selim Kiraz Bulv. Anayasa Mahkemesi Başkanlığı Binası No:4, 06805 Çankaya/Ankara, Türkiye","39.844872699999996, 32.7900053"
68,Altındağ Kargo Dağıtım Merkezi Müdürlüğü,Ankara,PTT Kargo,"Çamlıca, 556. Sk. No. 18, 06200 Yenimahalle/Ankara, Türkiye","39.9582013, 32.7733701"
69,PTT,Ankara,PTT Kargo,"Aydınlar, Sokullu Mehmet Paşa Cd. 111 A, 06460 Dikmen -Çankaya/Çankaya/Ankara, Türkiye","39.88218, 32.8360225"
70,Distribution and Collection Center Post Office Sincan,Ankara,PTT Kargo,"Piyade, İstasyon Cad. No:189, 06770 Etimesgut/Ankara, Türkiye","39.9526253, 32.6412403"
71,Ptt Bahçelievler,Ankara,PTT Kargo,"Bahçelievler, Azerbaycan Cd., 06490 Çankaya/Ankara, Türkiye","39.9285196, 32.8260455"
72,PTT Babaharman Posta Dağıtım Merkezi Müdürlüğü,Ankara,PTT Kargo,"Gültepe, Babür Cd. No:40 D:40, 06090 Altındağ/Ankara, Türkiye","39.95278, 32.878603"
73,Ptt Gümrük Şube Şefliği,Ankara,PTT Kargo,"Işınlar, Eşref Bitlis Cd. No: 8, 06170 Yenimahalle/Ankara, Türkiye","39.9565725, 32.8222413"
74,Ptt Barış Manço Şubesi,Ankara,PTT Kargo,"Oğuzlar, Barış Manço Cd. 17/B, 06520 Balgat - Çankaya/Çankaya/Ankara, Türkiye","39.903508599999995, 32.8179782"
75,Ulus PTT Müdürlüğü,Ankara,PTT Kargo,"Hacı Bayram, Atatürk Blv No:7, 06040 Altındağ/Ankara, Türkiye","39.939726500000006, 32.854551"
76,Ptt Birlik,Ankara,PTT Kargo,"Birlik, 441. Cadde 18/9, 06550 Çankaya/Ankara, Türkiye","39.8789936, 32.8743248"
77,PTT kargo işleme merkezi,Antalya,PTT Kargo,"Arapsuyu, 600. Sk. No:1, 07030 Konyaaltı/Antalya, Türkiye","36.8803896, 30.654418300000003"
78,PTT Lara Postal Distribution Center,Antalya,PTT Kargo,"Fener, 1986. Sk. No: 31, 07160 Muratpaşa/Antalya, Türkiye","36.855222999999995, 30.757962199999998"
79,Kepez Ptt Kargo ve Posta Dağıtım Merkezi,Antalya,PTT Kargo,"Mehmet Akif Ersoy, Mehmet Atay Cd. No:7, 07320 Kepez/Antalya, Türkiye","36.9231737, 30.715734599999998"
80,Post Office Pin-Antalya,Antalya,PTT Kargo,"Arapsuyu, Atatürk Blv. No:50, 07125 Konyaaltı/Antalya, Türkiye","36.8805598, 30.654589400000003"
81,PTT,Antalya,PTT Kargo,"Şafak, 5024. Sk. D:1, 07220 Kepez/Antalya, Türkiye","36.919934399999995, 30.6391785"
82,PTT,Antalya,PTT Kargo,"Kızıltoprak, Ali Çetinkaya Cd. No:139, 07300 Muratpaşa/Antalya, Türkiye","36.888394999999996, 30.723241"
83,PTT,Antalya,PTT Kargo,"Sinan, Hüsnü Karakaş Cd. PTT - Çarşı Şb. No:1256, 07100 Muratpaşa/Antalya, Türkiye","36.8868627, 30.7106133"
84,Ptt Altınkum Şubesi,Antalya,PTT Kargo,"Altınkum, Gazi Mustafa Kemal Blv., 07070 Konyaaltı/Antalya, Türkiye","36.870501999999995, 30.6288467"
85,PTT Şarampol Şubesi,Antalya,PTT Kargo,"07023, Üçgen, Eski Şarampol Cd., 07040 Muratpaşa/Antalya, Türkiye","36.8980834, 30.6964118"
86,Ptt-güzeloba Şubesi,Antalya,PTT Kargo,"Güzeloba, 199, Barınaklar Blv. Türk Telekom Güzeloba Santral Binası No:199, 07230 Muratpaşa/Antalya, Türkiye","36.858548899999995, 30.790621999999995"
87,Ptt Şirinyalı,Antalya,PTT Kargo,"Şirinyalı, İsmet Gökşen Cd. Tan Apt. D:112, 07160 Muratpaşa/Antalya, Türkiye","36.8586744, 30.742661899999995"
88,Ahatlı Branch Post Office,Antalya,PTT Kargo,"Ahatlı, Ulusoy Cd. No:36 D:c, 07090 Kepez/Antalya, Türkiye","36.908604499999996, 30.6569161"
89,Ptt-dokuma Şubesi,Antalya,PTT Kargo,"Özgürlük, No:6, 2655. Sk. PTT - Dokuma Şb., 07025 Kepez/Antalya, Türkiye","36.9119764, 30.682743799999997"
90,Ptt Branch Post Office PttBank - Yeşilbahçe,Antalya,PTT Kargo,"Yeşilbahçe, Çınarlı Cad., 1457 Sok. 34/4, 07160 Muratpaşa/Antalya, Türkiye","36.868899, 30.732462199999993"
91,Ptt Kargo Aksu Şubesi,Antalya,PTT Kargo,"Macun, Perge Yolu No: 32, 07112 Aksu/Antalya, Türkiye","36.949199199999995, 30.8483461"
92,Döşemealtı PTT Posta Dağıtım,Antalya,PTT Kargo,"Bahçeyaka, 28. Sk., 07190 Döşemealtı/Antalya, Türkiye","37.0223584, 30.6002592"
93,Akdeniz Sanayi Sitesi Ptt Şubesi,Antalya,PTT Kargo,"Kepez, 5014. Sk. No 15, 07220 Kepez/Antalya, Türkiye","36.9200975, 30.639121699999997"
94,Ptt Kızılarık,Antalya,PTT Kargo,"Kızılarık, Köroğlu Blv. No: 23/A, 07310 Muratpaşa/Antalya, Türkiye","36.904519199999996, 30.7205904"
95,GÜLLÜK PTT ANTALYA,Antalya,PTT Kargo,"Deniz, Anafartalar Cd. No:5, 07050 Muratpaşa/Antalya, Türkiye","36.8861983, 30.697382700000002"
96,Ptt,Antalya,PTT Kargo,"Ermenek, 10. Sk., 07110 Muratpaşa/Antalya, Türkiye","36.872292099999996, 30.8298518"
97,Ptt Kargo Ardahan,Ardahan,PTT Kargo,"Karagöl, Koca Mustafa Paşa Cd. No:31, 75000 Ardahan Merkez/Ardahan, Türkiye","41.109863399999995, 42.700562"
98,PTT,Ardahan,PTT Kargo,"Kaptanpaşa, Kongre Cd. No:3, 75000 Ardahan Merkez/Ardahan, Türkiye","41.113344, 42.703140999999995"
99,PTT,Artvin,PTT Kargo,"Çarşı, İnönü Cd. No:62, 08000 Artvin Merkez/Artvin, Türkiye","41.180682, 41.820375999999996"
100,PTT,Artvin,PTT Kargo,"Yeni, Gül Sk. No:59, 08000 Yusufeli/Artvin, Türkiye","41.1865811, 41.8066622"
101,Ptt Baş Müdürlüğü,Artvin,PTT Kargo,"Orta, Miralay Şükrü Bey Cd. No:113, 08000 Artvin Merkez/Artvin, Türkiye","41.184041799999996, 41.8221941"
102,Ptt Artvin,Artvin,PTT Kargo,"Çarşı, Çelik Sk., 08000 Artvin Merkez/Artvin, Türkiye","41.179856799999996, 41.8161019"
103,Sürat Kargo Artvin Şube,Artvin,PTT Kargo,"Orta, Sakıp Sabancı Sk. No:17/B, 08010 Artvin Merkez/Artvin, Türkiye","41.1807474, 41.8264597"
104,Yurtiçi Kargo Artvin,Artvin,PTT Kargo,"Orta Mah. Miralay Şükrü Bey Cad. N: 70/G, Orta, 08010 Artvin Merkez/Artvin, Türkiye","41.1832371, 41.8233958"
105,PTT,Artvin,PTT Kargo,"Yeniyol, PTT Cd. No:14, 08400 Borçka/Artvin, Türkiye","41.3637498, 41.6790711"
106,Mng Kargo - Artvin Şubesi,Artvin,PTT Kargo,"Çayağzı, Zeytin Sk. No:46B, 08010 Artvin Merkez/Artvin, Türkiye","41.181114199999996, 41.8302615"
107,Ptt Acente,Artvin,PTT Kargo,"Nıpala, İç Yolu, 08100 Seyitler/Pk:08000 Merkez/Artvin, Türkiye","41.195991, 41.837716"
108,PTT Kargo Aydın Dağıtım ve Toplama Merkezi,Aydın,PTT Kargo,"Orta Mahallesi Tekstil Blv, Orta, 250. Sk. No:3, 09100 Efeler/Aydın, Türkiye","37.8430643, 27.8537063"
109,Ptt Balıkesi̇r Posta Dağıtım Merkez Müdürlüğü,Balıkesir,PTT Kargo,"Eski Kuyumcular, Kepsut Cd. NO:161, 10040 Karesi/Balıkesir, Türkiye","39.6529855, 27.9147644"
110,PTT Çarşı Şube,Balıkesir,PTT Kargo,"Eski Kuyumcular, Anafartalar Cd. 11 A, 10010 Balıkesir Merkez/Balıkesir, Türkiye","39.646693899999995, 27.880754699999997"
111,PTT,Balıkesir,PTT Kargo,"Bahçelievler, 100. Yıl Teknik Lisesi Cd. No: 31 B, 10050 Altıeylül/Balıkesir, Türkiye","39.635245100000006, 27.892644599999997"
112,Ptt-balıkesır Posta Dagıtım,Balıkesir,PTT Kargo,"Eski Kuyumcular, Iştınlı Sk., 10010 Pk:10100 Merkez/Balıkesir, Türkiye","39.6467429, 27.880718299999998"
113,Ptt-terminal Şubesi,Balıkesir,PTT Kargo,"Paşa Alanı, 303. Sk. No:19, 10020 Balıkesir Merkez/Balıkesir, Türkiye","39.672272899999996, 27.91624"
114,PTT Toygar Şubesi,Balıkesir,PTT Kargo,"Toygar, Mehmet Akif Ersoy Cd., 10020 Balıkesir Merkez/Balıkesir, Türkiye","39.6646791, 27.893361799999997"
115,Ptt-k.sanayi Şubesi,Balıkesir,PTT Kargo,"Paşa Alanı, Cumhuriyet Cd. 212 A, 10020 Balıkesir Merkez/Balıkesir, Türkiye","39.6711518, 27.92778"
116,PTT-adnan Menderes Şubesi,Balıkesir,PTT Kargo,"Adnan Menderes, 125. Cd., 10010 Merkez/Karesi/Balıkesir, Türkiye","39.654216999999996, 27.852407"
117,Ptt-gündoğan Şubesi,Balıkesir,PTT Kargo,"2. Gündoğan, Atay Cd. No:78, 10040 Balıkesir Merkez/Balıkesir, Türkiye","39.644493, 27.912291099999997"
118,Ptt-şamlı Şubesi,Balıkesir,PTT Kargo,"Hacı İsmail, Hükümet Cd. No:12, 10000 Balıkesir Merkez/Balıkesir, Türkiye","39.6506265, 27.876520400000004"
119,Balikesir Subesi,Balıkesir,PTT Kargo,"Eski Kuyumcular, Iştınlı Sk. 4A, 10010 Balıkesir Merkez/Balıkesir, Türkiye","39.6463053, 27.881415699999998"
120,PTT,Balıkesir,PTT Kargo,"Küçük Sanayi Sitesi Cumhuriyet Cad. D:217, Balıkesir Merkez, Balıkesir, Paşa Alanı, 10020 Karesi/Balıkesir, Türkiye","39.6713263, 27.927130899999998"
121,PTT,Balıkesir,PTT Kargo,"Bakım Okulu Ve Eğitim Merkezi Komutanlığı, Balıkesir Merkez, Balıkesir, Çayırhisar, 10185 Altıeylül/Balıkesir, Türkiye","39.6075771, 27.902291899999998"
122,Ptt - Kazdağı Şb.,Balıkesir,PTT Kargo,"Gazıcelal 453 Sok. Pk:10300 Edremit Balıkesir, Soğanyemez, 10300 Edremit/Balıkesir, Türkiye","39.5943, 27.0182"
123,PTT,Balıkesir,PTT Kargo,"Ege, Tarlabaşı Cd. No:84, 10020 Altıeylül/Balıkesir, Türkiye","39.540752999999995, 28.00694"
124,PTT Plevne şubesi,Balıkesir,PTT Kargo,"Plevne, Beyoğlu Cd. No:116, 10050 Altıeylül/Balıkesir, Türkiye","39.625234299999995, 27.8935119"
125,Ptt-bandırma Şubesi,Balıkesir,PTT Kargo,"17 Eylül, Atatürk Cd., 10200 Bandırma/Balıkesir, Türkiye","40.35245400000001, 27.972738999999997"
126,PTT,Balıkesir,PTT Kargo,"İsmetpaşa, Atatürk Blv. No:129, 10400 Ayvalık/Balıkesir, Türkiye","39.320502499999996, 26.6927836"
127,PTT,Balıkesir,PTT Kargo,"Narlı Köyü Atatürk Cad., İskele Yanı, Altınoluk, Edremit, Balıkesir, Narlı, 10870 Edremit/Balıkesir, Türkiye","39.578846999999996, 26.67758"
128,PTT 2. Gündoğan Şubesi,Balıkesir,PTT Kargo,"2. Gündoğan, Ergüven Cd. 7a, 10040 Balıkesir Merkez/Balıkesir, Türkiye","39.6439124, 27.9079739"
129,PTT,Bartın,PTT Kargo,"Kırtepe, Ahçeloğlu Sk. No:8, 74100 Bartın Merkez/Bartın, Türkiye","41.631564, 32.3356"
130,Ptt Kargo Çatmaca Şubesi,Bartın,PTT Kargo,"Kemer Köprü, Elmalık Sk. No:7, 74100 Bartın Merkez/Bartın, Türkiye","41.624383699999996, 32.3288392"
131,Ptt-bartın Baş Müdürlüğü,Bartın,PTT Kargo,"Orta, Karakaş Cd. 10 A, 74100 Bartın Merkez/Bartın, Türkiye","41.634066999999995, 32.337376899999995"
132,Ptt posta Dağıtım,Bartın,PTT Kargo,"Kemer Köprü, 74100 Bartın Merkez/Bartın, Türkiye","41.6251205, 32.3284497"
133,Ptt-hendekyanı Şubesi,Bartın,PTT Kargo,"Orta, Piryamcılar Cd. 22 A, 74100 Bartın Merkez/Bartın, Türkiye","41.633097, 32.3397472"
134,Ptt-orduyeri Şubesi,Bartın,PTT Kargo,"Orduyeri, 74200 Bartın Merkez/Bartın, Türkiye","41.6409673, 32.3431881"
135,Ptt-sanayi Çarşısı Şubesi,Bartın,PTT Kargo,"Golbucagı Aladag Cad. Sanayı Sok. Pk:74060 Merkez Bartın, Gölbucağı, 74100 Bartın Merkez/Bartın, Türkiye","41.639368, 32.321433999999996"
136,PTT,Bartın,PTT Kargo,"Ağdacı, 74110 Bartın Merkez/Bartın, Türkiye","41.6002625, 32.3473652"
137,PTT Kargo,Batman,PTT Kargo,"Şafak, Ömer Muhtar Blv. No:22, 72070 Batman Merkez/Batman, Türkiye","37.8864651, 41.136697"
138,Ptt-şairzihni Şubesi,Bayburt,PTT Kargo,"Şeyh Hayran, Dede Korkut Cd. No:12, 69000 Bayburt Merkez/Bayburt, Türkiye","40.257895, 40.225363"
139,Ptt-baş Müdürlüğü,Bayburt,PTT Kargo,"Şeyh Hayran, Turan Cd. No:1, 69000 Bayburt Merkez/Bayburt, Türkiye","40.259612000000004, 40.2258031"
140,Sürat Kargo Bayburt Şube,Bayburt,PTT Kargo,"Tuzcuzade, Pönserek Sk. No:17/A, 69000 Bayburt Merkez/Bayburt, Türkiye","40.256589999999996, 40.223237999999995"
141,Ptt-arpalı Şubesi,Bayburt,PTT Kargo,"Hürriyet, 69300 Arpalı/Bayburt Merkez/Bayburt, Türkiye","40.3668686, 40.1051931"
142,Yurtiçi Kargo Bayburt,Bayburt,PTT Kargo,"Tuzcuzade, Danışmendiler Cd. No: 17/A, 69010 Bayburt Merkez/Bayburt, Türkiye","40.2571611, 40.2230268"
143,Mng Kargo-bayburt Şubesi,Bayburt,PTT Kargo,"Şeyh Hayran, Hastane Cd., 69000 Bayburt Merkez/Bayburt, Türkiye","40.258981899999995, 40.224402999999995"
144,PTT,Bayburt,PTT Kargo,"Şirin, Fatih Sultan Mehmet Cad./30 Ağustos Sok. No:5, 69400 Demirözü/Bayburt, Türkiye","40.1625449, 39.892850700000004"
145,AYDINTEPE PTT ŞUBESİ,Bayburt,PTT Kargo,"Ahmet Yesevi Mahallesi İpek sokak, Ahmet Yesevi, BELEDİYE ARKASI No:3/1, 69500 Aydıntepe/Bayburt, Türkiye","40.390569299999996, 40.146568699999996"
146,PTT,Bayburt,PTT Kargo,"Ahmet Yesevi, Cumhuriyet Meydanı No:2/A, 69500 Aydıntepe/Bayburt, Türkiye","40.3922901, 40.1446417"
147,PTT Kargo,Bilecik,PTT Kargo,"Bahçelievler, Eskişehir İstanbul Asfaltı No:7, 11000 Bilecik Merkez/Bilecik, Türkiye","40.1551936, 29.9777838"
148,PTT Kargo,Bingöl,PTT Kargo,"İnönü, Genç Cd. No:32, 12000 Bingöl Merkez/Bingöl, Türkiye","38.8831553, 40.5003909"
149,PTT,Bingöl,PTT Kargo,"İnönü, Genç Cd., 12000 Bingöl Merkez/Bingöl, Türkiye","38.883334, 40.5001181"
150,PTT üniversite şubesi,Bingöl,PTT Kargo,"Selahaddin-i Eyyubi Mahallesi, Selahaddin-i Eyyubi, Bingol University, Mh, 12000 Bingöl Merkez/Bingöl, Türkiye","38.8974866, 40.4911051"
