,Name,Province,Service,Address,Location
4074,Aras Cargo Elazig Station Branch,Elazığ,AyKargo,"Akpınar, Kolordu Cd. No:4/1E D:0, 23100 Elâzığ Merkez/Elazığ, Türkiye","38.6681597, 39.2216558"
4075,ERSAN KARGO,Elazığ,AyKargo,"Salı Baba, 23300 Elâzığ Merkez/Elazığ, Türkiye","38.6708618, 39.250987099999996"
4076,MNG Kargo,Elazığ,AyKargo,"Salı Baba, Yaşar Doğu Cd. No:4B, 23300 Elâzığ Merkez/Elazığ, Türkiye","38.67383710000001, 39.2510142"
4077,Yurtiçi Kargo İzzetpaşa,Elazığ,AyKargo,"İzzet Paşa, Şht. İlhanlar Cd. No: 42 D:c, 23200 Elâzığ Merkez/Elazığ, Türkiye","38.6786323, 39.2213365"
4078,Aras Kargo Harput Şubesi,Elazığ,AyKargo,"Çatal Çeşme, Feyizli Sk. No:13, 23300 Elâzığ Merkez/Elazığ, Türkiye","38.6734568, 39.2585596"
4079,Mng Kargo - Elazığ Merkez Şubesi,Elazığ,AyKargo,"Ataşehir Mah. Malatya Cad. N:469/0, Ataşehir, 23300 Elâzığ Merkez/Elazığ, Türkiye","38.623731600000006, 39.106105"
4080,PTT,Elazığ,AyKargo,"Çarşı, Bosnahersek Bulvarı No:1, 23100 Elâzığ Merkez/Elazığ, Türkiye","38.6739624, 39.222625699999995"
4081,Aygaz Tup Bayi,Elazığ,AyKargo,"Nail Bey, Gnrl.Hakkı Talay Cd. No:49, 23100 Elâzığ Merkez/Elazığ, Türkiye","38.673452499999996, 39.218983099999996"
4082,Vodafone Group Plc,Elazığ,AyKargo,"İzzet Paşa, Hürriyet Cd. No:5/A, 23200 Elâzığ Merkez/Elazığ, Türkiye","38.674709, 39.221847"
4083,Yurtiçi Kargo Erzincan,Erzincan,AyKargo,"Erzincan TR, Karaağaç, 758. Sk. No: 13/A, 24100 Erzincan Merkez/Erzincan, Türkiye","39.746042599999996, 39.497022699999995"
4084,Yurtiçi Kargo - Ayıntap Şubesi,Gaziantep,AyKargo,"Sarıgüllük, Ökkeş Bahri Cd. 2/A, 34398 Şehitkamil/Gaziantep, Türkiye","37.072988699999996, 37.3573459"
4085,Gaziantep Shipping,Gaziantep,AyKargo,"Aydınlar, 3006. Cd., 27580 Şehitkamil/Gaziantep, Türkiye","37.0981941, 37.4081039"
4086,Aygaz Gençler Koll. Şti.,Giresun,AyKargo,"Kapu, Dr. Baki Gürkan Sk., 28100 Giresun Merkez/Giresun, Türkiye","40.91682, 38.3894765"
4087,Aygaz,Giresun,AyKargo,"No:, Hacısiyam, İnönü Cd. No:15, 28200 Merkez/Giresun Merkez/Giresun, Türkiye","40.9133913, 38.3814146"
4088,Aygaz Tüp Bayi,Giresun,AyKargo,"Hacımiktat, Fatih Cd. No:16 D:C, 28200 Giresun Merkez/Giresun, Türkiye","40.916756299999996, 38.3839829"
4089,Aygaz,Giresun,AyKargo,"Seldeğirmeni, Gazi Cd., 28100 Giresun Merkez/Giresun, Türkiye","40.9135941, 38.395965"
4090,Yurtiçi Kargo Gümüşhane,Gümüşhane,AyKargo,"Karaer, Cami Sk. No: 1/A, 29010 Gümüşhane Merkez/Gümüşhane, Türkiye","40.4582504, 39.479552399999996"
4091,Aras Kargo Asi Şubesi,Hatay,AyKargo,"Odabaşı, İsmet İnönü Cd. No:102A, 31030 Antakya/Hatay, Türkiye","36.23337, 36.1735658"
4092,Yurtiçi Kargo Iğdır,Iğdır,AyKargo,"Topçular, Yumoş Sk. No: 11/B, 76103 Iğdır Merkez/Iğdır, Türkiye","39.921276299999995, 44.0387716"
4093,Aydagi Tasimacilik,Iğdır,AyKargo,"14 Kasım, Nihat Polat Cd. No:40, 76000 Iğdır Merkez/Iğdır, Türkiye","39.9302044, 44.0541795"
4094,SENDEO KARGO Iğdır şubesi,Iğdır,AyKargo,"Topçular, Alibaba Sk. 7A, 76000 Iğdır Merkez/Iğdır, Türkiye","39.920882, 44.0400529"
4095,Mng Kargo - Iğdır Şubesi,Iğdır,AyKargo,"Bağlar, 1.Sok No: 3/A, 76103 Iğdır Merkez/Iğdır, Türkiye","39.9237544, 44.0409757"
4096,Igdir Igdir Aras Cargo Branch,Iğdır,AyKargo,"Söğütlü, Kurtuluş Cd. No:20B, 76103 Iğdır Merkez/Iğdır, Türkiye","39.925455, 44.049299"
4097,Aras Kargo Gökkuşağı Şubesi,Iğdır,AyKargo,"Cumhuriyet, Millet Cd. No:44/A, 76103 Iğdır Merkez/Iğdır, Türkiye","39.9174387, 44.0478805"
4098,Iğdır Nakliyat,Iğdır,AyKargo,"Emek, Sema Yurt Cd. No:109 D:77, 76000 Iğdır Merkez/Iğdır, Türkiye","39.9173091, 44.0218036"
4099,Aygaz Tup Bayi,Iğdır,AyKargo,"No:, Topçular, Yumoş Sk. No:1, 76000 Iğdır Merkez/Iğdır, Türkiye","39.9211818, 44.0401752"
4100,Sendeo Kargo,Iğdır,AyKargo,"7 Kasım, Murat Sk. No:1, 76000 Iğdır Merkez/Iğdır, Türkiye","39.9148923, 44.049402799999996"
4101,Yeşil Okut Lojistik,Iğdır,AyKargo,"Söğütlü, Parlar Cd. No:2-18, 76000 Iğdır Merkez/Iğdır, Türkiye","39.9242255, 44.0482138"
4102,Aykargo Teslimat Noktası Gönen,Isparta,AyKargo,"Alaca Mescit, Cumhuriyet Cd. No:14, 32090 Gönen/Isparta, Türkiye","37.956218, 30.512314999999997"
4103,Aykargo Teslimat Noktası Keçiborlu,Isparta,AyKargo,"Yukarı, Atatürk Cad. No:68, 32700 Keçiborlu/Isparta, Türkiye","37.9458701, 30.303573699999994"
4104,Aykargo Teslimat Noktası Uluborlu,Isparta,AyKargo,"Pazar, Ulupark Cd. No:27, 32650 Uluborlu/Isparta, Türkiye","38.0790273, 30.450573499999997"
4105,Aykargo Teslimat Noktası Büyükkabaca,Isparta,AyKargo,"Karşı, Büyük Kabaca Yolu, 32610 Büyükkabaca/Senirkent/Isparta, Türkiye","38.1721633, 30.6429673"
4106,Aykargo teslimat Noktası,Isparta,AyKargo,"Çarşı, Dülger Baki 3. Sk. No:6, 32400 Yalvaç/Isparta, Türkiye","38.2964088, 31.1797448"
4107,Aykargo Teslimat Noktası Senirkent,Isparta,AyKargo,"Hamidiye, Ali İhsan Şahin Cd. No:2, 32600 Senirkent/Isparta, Türkiye","38.1078419, 30.5502386"
4108,Isparta Aras Cargo Branch Gökçay,Isparta,AyKargo,"Çelebiler, 1416. Sk. No:28, 32040 Isparta Merkez/Isparta, Türkiye","37.7599525, 30.5534629"
